,size,score,code,Weights0,Bias0,Weights1,Bias1,Weights2,Bias2
100,"[2, 4, 4, 1]",2269.592006434548,,"[[1.3341787656771176, 0.6792114516533326, 0.3722907938360213, -0.04424232687916826], [2.807680120118718, -0.3447667679135708, -1.2859013086493187, -1.187914882973089]]","[[0.06476519096329998, 0.029731633263613326, -0.03691382896508404, 0.0813982623661608]]","[[-1.7936565193049874, -0.1899437309327022, 0.2611668958967597, 0.4936962474412437], [0.6179977890100805, -1.0270404599395606, 0.09856276007230683, 0.7252127057940876], [3.717387045858398, -0.6457359708976969, 1.2554206259340577, -0.2175135237098173], [-1.8977106267568085, -0.2240611959091569, -0.2015910266223547, 0.6460324227308526]]","[[-0.0950661390443471, -0.026146691126827583, -0.060952277760257835, -0.010712421249242968]]","[[-0.5403652706124256], [-0.3430861314108619], [-1.477345519679875], [1.565454262531712]]",[[0.07824390256633222]]
101,"[2, 4, 4, 1]",2284.847352366608,,"[[1.332994437866718, 0.6774477172410857, 0.3804491899792178, -0.03723588370975308], [2.8005704575825736, -0.34356109339595087, -1.2865675803897514, -1.1778159837361801]]","[[0.06226626069643251, 0.04279262612744467, -0.03300828306493934, 0.07852838083251917]]","[[-1.7896847680345418, -0.19632124662491895, 0.27119465582978947, 0.478531379112543], [0.6145320622427796, -1.0376867003163834, 0.1024085581513729, 0.7217456028016845], [3.7094112370802033, -0.6318467994913266, 1.2247158228313384, -0.2206975679842706], [-1.9007107508509873, -0.2295251800896642, -0.20767968462447242, 0.6450719792575192]]","[[-0.09568759540812583, -0.021389929550565, -0.05316583065554713, -0.009654166110152554]]","[[-0.5382264259986786], [-0.34312464895866346], [-1.4786540373537256], [1.5719816845917494]]",[[0.09771383184166466]]
102,"[2, 4, 4, 1]",2192.6655411191146,,"[[1.328670401818548, 0.668380870952379, 0.37403335553619343, -0.03833360206587147], [2.8136623833941052, -0.34858813130319405, -1.285363271668242, -1.1814809558711332]]","[[0.06184468655871934, 0.035834977784034425, -0.03230057844041691, 0.0766534331242693]]","[[-1.7854909708072095, -0.1972533284979008, 0.2648678297494468, 0.4779618025028571], [0.6129404079656074, -1.0321792126067026, 0.10506278156775954, 0.7229923307723312], [3.713240090935555, -0.6304766079995535, 1.2296253878799994, -0.2141866295805203], [-1.8980882344441596, -0.22062325526710932, -0.20804551755022477, 0.6460186273949348]]","[[-0.09664040321527756, -0.015850934545033796, -0.051084729726340886, -0.01430499747197725]]","[[-0.5458359773424445], [-0.34669516873051565], [-1.4783568591237841], [1.5713112679829588]]",[[0.09563661301507603]]
103,"[2, 4, 4, 1]",2203.5961614670573,,"[[1.3327794163271405, 0.6792414092216215, 0.381186422959716, -0.03780283064786695], [2.7990143249326644, -0.343951348306904, -1.2838630583524113, -1.1800742291433377]]","[[0.06280647591462567, 0.042965967099169916, -0.031537026334086976, 0.08096977733493158]]","[[-1.7918266662175064, -0.196809198002912, 0.27295412633903743, 0.4796151384737156], [0.6136284242817496, -1.0368032192932055, 0.09876757967637138, 0.7213605358393116], [3.7094579842687603, -0.6296273075655008, 1.224303380276865, -0.22177467592761432], [-1.9003873765189225, -0.23128925555506277, -0.2040209849925103, 0.6411422804788653]]","[[-0.09505225677409111, -0.02418967123281704, -0.05215182105087792, -0.013396242826421927]]","[[-0.541183741793204], [-0.3418010862271416], [-1.4788771403299472], [1.5708718220276192]]",[[0.09764902692678008]]
104,"[2, 4, 4, 1]",2209.3667065002905,,"[[1.2416644090626234, 0.6402388835752731, 0.30063226621418676, -0.2646318918924968], [2.9102074928782393, -0.1974865902705345, -1.2944277541097733, -1.0797397465645853]]","[[0.004138997471356959, 0.2560518490174455, -0.13990846359340126, 0.1539189756993186]]","[[-1.8958298040321153, -0.17938504085842233, 0.3527687346688446, 0.44757241228006045], [0.47305969919538626, -0.8855812081429728, 0.1466745629757314, 0.5459869328936944], [3.839336227873469, -0.6519810211618242, 1.247345231800232, -0.06782903094564374], [-1.7875397364768402, -0.26584729150351083, -0.05182543874278614, 0.7554739545507922]]","[[0.07313888136768473, 0.062156965300625554, -0.1769932632764763, -0.016408204608800554]]","[[-0.5807064484191362], [-0.3411800915261379], [-1.6430188673989827], [1.5709553081158976]]",[[0.18143074683396065]]
105,"[2, 4, 4, 1]",2187.31062266471,,"[[1.3345396170122563, 0.6788907555879006, 0.37700585409253523, -0.04072552364037049], [2.7971137923431315, -0.3397603134939973, -1.2827371211064937, -1.185622194409101]]","[[0.06307419024555919, 0.04099942055471461, -0.029042612144241024, 0.07832865244551644]]","[[-1.7887402057428239, -0.19867426011988815, 0.2724505537777537, 0.48270878602313455], [0.6125401223579493, -1.0423280931860095, 0.10095446953604573, 0.7222209957956894], [3.7103956610175537, -0.6293023775495822, 1.2241160662331354, -0.2196563116856099], [-1.8993025323708026, -0.23404897984545722, -0.20766791932453907, 0.6413816930628993]]","[[-0.094147461324023, -0.0246130800223632, -0.05091425484158724, -0.013879165084800651]]","[[-0.544168764216131], [-0.3426850947456251], [-1.4780282410833878], [1.5700138632113219]]",[[0.09616111192302561]]
106,"[2, 4, 4, 1]",2192.6655411191146,,"[[1.328670401818548, 0.668380870952379, 0.37403335553619343, -0.03833360206587147], [2.8136623833941052, -0.34858813130319405, -1.285363271668242, -1.1814809558711332]]","[[0.06184468655871934, 0.035834977784034425, -0.03230057844041691, 0.0766534331242693]]","[[-1.7854909708072095, -0.1972533284979008, 0.2648678297494468, 0.4779618025028571], [0.6129404079656074, -1.0321792126067026, 0.10506278156775954, 0.7229923307723312], [3.713240090935555, -0.6304766079995535, 1.2296253878799994, -0.2141866295805203], [-1.8980882344441596, -0.22062325526710932, -0.20804551755022477, 0.6460186273949348]]","[[-0.09664040321527756, -0.015850934545033796, -0.051084729726340886, -0.01430499747197725]]","[[-0.5458359773424445], [-0.34669516873051565], [-1.4783568591237841], [1.5713112679829588]]",[[0.09563661301507603]]
107,"[2, 4, 4, 1]",2192.6655411191146,,"[[1.328670401818548, 0.668380870952379, 0.37403335553619343, -0.03833360206587147], [2.8136623833941052, -0.34858813130319405, -1.285363271668242, -1.1814809558711332]]","[[0.06184468655871934, 0.035834977784034425, -0.03230057844041691, 0.0766534331242693]]","[[-1.7854909708072095, -0.1972533284979008, 0.2648678297494468, 0.4779618025028571], [0.6129404079656074, -1.0321792126067026, 0.10506278156775954, 0.7229923307723312], [3.713240090935555, -0.6304766079995535, 1.2296253878799994, -0.2141866295805203], [-1.8980882344441596, -0.22062325526710932, -0.20804551755022477, 0.6460186273949348]]","[[-0.09664040321527756, -0.015850934545033796, -0.051084729726340886, -0.01430499747197725]]","[[-0.5458359773424445], [-0.34669516873051565], [-1.4783568591237841], [1.5713112679829588]]",[[0.09563661301507603]]
108,"[2, 4, 4, 1]",2185.16619822164,,"[[1.3328422990698165, 0.678853512334459, 0.3775879328870669, -0.04148733082793854], [2.7961308194468564, -0.34092012055716336, -1.2816979316780266, -1.1856776156889162]]","[[0.06402583198999276, 0.042385147258923915, -0.028942976125619, 0.07807432297959026]]","[[-1.7892527038107269, -0.19913023627775273, 0.27153664614022477, 0.4827090134570413], [0.6150524405344349, -1.0417191802624342, 0.10154036870312805, 0.7233154600062597], [3.7102601313729893, -0.6315849196484132, 1.2232176521095082, -0.22049696189935167], [-1.8995524620003312, -0.23302420076246524, -0.20846993294404045, 0.6424572203483662]]","[[-0.09463667245296092, -0.02398758154897819, -0.050942723125685326, -0.013856284043614837]]","[[-0.5446354520595815], [-0.34220803119405035], [-1.4768638440428694], [1.569838268347738]]",[[0.09646980252200613]]
109,"[2, 4, 4, 1]",2187.31062266471,,"[[1.3345396170122563, 0.6788907555879006, 0.37700585409253523, -0.04072552364037049], [2.7971137923431315, -0.3397603134939973, -1.2827371211064937, -1.185622194409101]]","[[0.06307419024555919, 0.04099942055471461, -0.029042612144241024, 0.07832865244551644]]","[[-1.7887402057428239, -0.19867426011988815, 0.2724505537777537, 0.48270878602313455], [0.6125401223579493, -1.0423280931860095, 0.10095446953604573, 0.7222209957956894], [3.7103956610175537, -0.6293023775495822, 1.2241160662331354, -0.2196563116856099], [-1.8993025323708026, -0.23404897984545722, -0.20766791932453907, 0.6413816930628993]]","[[-0.094147461324023, -0.0246130800223632, -0.05091425484158724, -0.013879165084800651]]","[[-0.544168764216131], [-0.3426850947456251], [-1.4780282410833878], [1.5700138632113219]]",[[0.09616111192302561]]
110,"[2, 4, 4, 1]",2187.31062266471,,"[[1.3345396170122563, 0.6788907555879006, 0.37700585409253523, -0.04072552364037049], [2.7971137923431315, -0.3397603134939973, -1.2827371211064937, -1.185622194409101]]","[[0.06307419024555919, 0.04099942055471461, -0.029042612144241024, 0.07832865244551644]]","[[-1.7887402057428239, -0.19867426011988815, 0.2724505537777537, 0.48270878602313455], [0.6125401223579493, -1.0423280931860095, 0.10095446953604573, 0.7222209957956894], [3.7103956610175537, -0.6293023775495822, 1.2241160662331354, -0.2196563116856099], [-1.8993025323708026, -0.23404897984545722, -0.20766791932453907, 0.6413816930628993]]","[[-0.094147461324023, -0.0246130800223632, -0.05091425484158724, -0.013879165084800651]]","[[-0.544168764216131], [-0.3426850947456251], [-1.4780282410833878], [1.5700138632113219]]",[[0.09616111192302561]]
111,"[2, 4, 4, 1]",2185.16619822164,,"[[1.3328422990698165, 0.678853512334459, 0.3775879328870669, -0.04148733082793854], [2.7961308194468564, -0.34092012055716336, -1.2816979316780266, -1.1856776156889162]]","[[0.06402583198999276, 0.042385147258923915, -0.028942976125619, 0.07807432297959026]]","[[-1.7892527038107269, -0.19913023627775273, 0.27153664614022477, 0.4827090134570413], [0.6150524405344349, -1.0417191802624342, 0.10154036870312805, 0.7233154600062597], [3.7102601313729893, -0.6315849196484132, 1.2232176521095082, -0.22049696189935167], [-1.8995524620003312, -0.23302420076246524, -0.20846993294404045, 0.6424572203483662]]","[[-0.09463667245296092, -0.02398758154897819, -0.050942723125685326, -0.013856284043614837]]","[[-0.5446354520595815], [-0.34220803119405035], [-1.4768638440428694], [1.569838268347738]]",[[0.09646980252200613]]
112,"[2, 4, 4, 1]",2185.16619822164,,"[[1.3328422990698165, 0.678853512334459, 0.3775879328870669, -0.04148733082793854], [2.7961308194468564, -0.34092012055716336, -1.2816979316780266, -1.1856776156889162]]","[[0.06402583198999276, 0.042385147258923915, -0.028942976125619, 0.07807432297959026]]","[[-1.7892527038107269, -0.19913023627775273, 0.27153664614022477, 0.4827090134570413], [0.6150524405344349, -1.0417191802624342, 0.10154036870312805, 0.7233154600062597], [3.7102601313729893, -0.6315849196484132, 1.2232176521095082, -0.22049696189935167], [-1.8995524620003312, -0.23302420076246524, -0.20846993294404045, 0.6424572203483662]]","[[-0.09463667245296092, -0.02398758154897819, -0.050942723125685326, -0.013856284043614837]]","[[-0.5446354520595815], [-0.34220803119405035], [-1.4768638440428694], [1.569838268347738]]",[[0.09646980252200613]]
113,"[2, 4, 4, 1]",2185.16619822164,,"[[1.3328422990698165, 0.678853512334459, 0.3775879328870669, -0.04148733082793854], [2.7961308194468564, -0.34092012055716336, -1.2816979316780266, -1.1856776156889162]]","[[0.06402583198999276, 0.042385147258923915, -0.028942976125619, 0.07807432297959026]]","[[-1.7892527038107269, -0.19913023627775273, 0.27153664614022477, 0.4827090134570413], [0.6150524405344349, -1.0417191802624342, 0.10154036870312805, 0.7233154600062597], [3.7102601313729893, -0.6315849196484132, 1.2232176521095082, -0.22049696189935167], [-1.8995524620003312, -0.23302420076246524, -0.20846993294404045, 0.6424572203483662]]","[[-0.09463667245296092, -0.02398758154897819, -0.050942723125685326, -0.013856284043614837]]","[[-0.5446354520595815], [-0.34220803119405035], [-1.4768638440428694], [1.569838268347738]]",[[0.09646980252200613]]
114,"[2, 4, 4, 1]",2185.023281119776,,"[[1.3324244594613093, 0.6801615605018835, 0.3773899624649454, -0.041785616290876355], [2.7973966710594835, -0.34035471214910223, -1.2840684147001191, -1.1839131169510213]]","[[0.0641609426446781, 0.041202592509802766, -0.02950390857371769, 0.07804371915674842]]","[[-1.7905293682627084, -0.19788450651738393, 0.2727941553989844, 0.4839211069150856], [0.6155347884001543, -1.043082608922267, 0.10213623740372144, 0.7227349798483161], [3.7094599787813385, -0.6312052803254794, 1.2216708966222813, -0.21963092290180247], [-1.8988973227511496, -0.2314090256008753, -0.2069108228669289, 0.643013018715487]]","[[-0.0939234872204191, -0.022408940180807014, -0.05004402824060225, -0.012993376548712302]]","[[-0.5437717419198038], [-0.33933158761536864], [-1.4752576273397657], [1.5676620170471351]]",[[0.09729200935319104]]
115,"[2, 4, 4, 1]",2185.16619822164,,"[[1.3328422990698165, 0.678853512334459, 0.3775879328870669, -0.04148733082793854], [2.7961308194468564, -0.34092012055716336, -1.2816979316780266, -1.1856776156889162]]","[[0.06402583198999276, 0.042385147258923915, -0.028942976125619, 0.07807432297959026]]","[[-1.7892527038107269, -0.19913023627775273, 0.27153664614022477, 0.4827090134570413], [0.6150524405344349, -1.0417191802624342, 0.10154036870312805, 0.7233154600062597], [3.7102601313729893, -0.6315849196484132, 1.2232176521095082, -0.22049696189935167], [-1.8995524620003312, -0.23302420076246524, -0.20846993294404045, 0.6424572203483662]]","[[-0.09463667245296092, -0.02398758154897819, -0.050942723125685326, -0.013856284043614837]]","[[-0.5446354520595815], [-0.34220803119405035], [-1.4768638440428694], [1.569838268347738]]",[[0.09646980252200613]]
116,"[2, 4, 4, 1]",2185.1661982216397,,"[[1.3328422990698165, 0.678853512334459, 0.3775879328870669, -0.04148733082793854], [2.7961308194468564, -0.34092012055716336, -1.2816979316780266, -1.1856776156889162]]","[[0.06402583198999276, 0.042385147258923915, -0.028942976125619, 0.07807432297959026]]","[[-1.7892527038107269, -0.19913023627775273, 0.27153664614022477, 0.4827090134570413], [0.6150524405344349, -1.0417191802624342, 0.10154036870312805, 0.7233154600062597], [3.7102601313729893, -0.6315849196484132, 1.2232176521095082, -0.22049696189935167], [-1.8995524620003312, -0.23302420076246524, -0.20846993294404045, 0.6424572203483662]]","[[-0.09463667245296092, -0.02398758154897819, -0.050942723125685326, -0.013856284043614837]]","[[-0.5446354520595815], [-0.34220803119405035], [-1.4768638440428694], [1.569838268347738]]",[[0.09646980252200613]]
